timestamp,rpm,count,distance_m
2026-04-22 13:27:35,60.0,2,1.88
2026-04-22 13:27:40,60.0,3,2.83
2026-04-22 13:27:47,60.0,4,3.77
2026-04-22 13:27:51,60.0,5,4.71
2026-04-22 13:28:13,60.0,6,5.65
2026-04-22 13:28:18,60.0,7,6.6
2026-04-22 13:28:19,60.0,8,7.54
2026-04-22 13:28:20,60.0,9,8.48
2026-04-22 13:28:26,60.0,10,9.42
2026-04-22 13:28:28,60.0,11,10.37
2026-04-22 13:28:31,60.0,12,11.31
2026-04-22 13:28:32,120.0,14,13.19
2026-04-22 13:28:33,120.0,16,15.08
2026-04-22 13:28:34,180.0,19,17.91
2026-04-22 13:28:35,60.0,20,18.85
